Participant_ID,Country,Age,Gender,Position_Level,Tenure_Years,Education,Industry,Org_Size_Category,Org_Size_Numeric,TC_Score,CMC_Score,EA_Score,ALO_Score,TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,CMC1,CMC2,CMC3,CMC4,CMC5,CMC6,CMC7,CMC8,EA1,EA2,EA3,EA4,EA5,EA6,EA7,EA8,ALO1,ALO2,ALO3,ALO4,ALO5,ALO6,ALO7,ALO8,OI_Score,SA_Score,OL_Score,Overall_Success,OI1,OI2,OI3,OI4,SA1,SA2,SA3,SA4,OL1,OL2,OL3,OL4,PD_Score,UA_Score,Collectivism_Score,LTO_Score,PD1,PD2,PD3,UA1,UA2,UA3,IC1,IC2,IC3,LTO1,LTO2,LTO3,Survey_Date
JP_QUANT_001,Japan,48,Female,Team Leader,12.3,Bachelor,Other,Small (< 100),52,4.75,4.625,3.5,4.125,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,6.5,6.0,6.5,6.33,7.0,6.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,6.0,2.33,5.67,2.33,5.0,2.0,2.0,3.0,6.0,6.0,5.0,3.0,2.0,2.0,4.0,5.0,6.0,2025-09-14
JP_QUANT_002,Japan,43,Male,Department Head,14.0,Master,Financial Services,Small (< 100),34,4.5,4.125,4.0,4.25,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,6.33,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,2.0,7.0,5.0,6.67,2.0,2.0,2.0,7.0,7.0,7.0,6.0,5.0,4.0,7.0,6.0,7.0,2025-12-28
JP_QUANT_003,Japan,50,Male,Department Head,8.7,Bachelor,Financial Services,Large (> 500),1771,4.875,3.125,3.75,2.875,5.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,5.5,5.25,5.75,5.5,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,4.33,5.67,4.0,5.0,3.0,7.0,7.0,7.0,4.0,5.0,4.0,6.0,6.0,5.0,2025-10-05
JP_QUANT_004,Japan,57,Male,Department Head,7.2,Master,Manufacturing,Large (> 500),863,5.125,4.5,4.0,4.5,6.0,6.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.25,6.25,6.17,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,2.67,5.0,4.67,6.67,2.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,7.0,6.0,7.0,2025-10-17
JP_QUANT_005,Japan,42,Male,Team Leader,15.9,Master,Healthcare,Small (< 100),94,4.0,3.625,3.75,3.75,4.0,5.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,5.25,5.0,6.0,5.42,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,4.67,5.0,5.33,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,2025-10-28
JP_QUANT_006,Japan,42,Male,Senior Executive,18.0,Master,Technology,Large (> 500),785,3.875,3.875,4.125,3.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,5.75,5.0,5.25,5.33,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.67,5.0,6.0,5.0,5.0,5.0,6.0,7.0,7.0,4.0,5.0,6.0,6.0,6.0,6.0,2025-11-04
JP_QUANT_007,Japan,57,Male,Senior Executive,12.4,Master,Manufacturing,Medium (100-500),248,4.25,4.125,3.75,3.125,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,6.0,5.25,6.0,5.75,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,3.67,6.33,4.33,7.0,4.0,4.0,3.0,7.0,6.0,6.0,3.0,5.0,5.0,7.0,7.0,7.0,2025-09-19
JP_QUANT_008,Japan,51,Male,Department Head,5.7,Bachelor,Manufacturing,Large (> 500),1607,2.75,3.5,3.625,3.375,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,5.75,5.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.33,6.33,4.0,7.0,5.0,5.0,6.0,7.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,7.0,2025-10-27
JP_QUANT_009,Japan,40,Male,Department Head,6.7,Bachelor,Technology,Medium (100-500),330,4.75,2.75,3.375,3.25,5.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,5.0,4.67,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.33,7.0,5.0,6.67,5.0,4.0,4.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,6.0,7.0,2025-11-04
JP_QUANT_010,Japan,49,Male,Department Head,2.2,Master,Technology,Medium (100-500),387,4.125,4.5,4.5,4.25,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,5.5,5.5,6.0,5.67,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,5.0,3.67,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,4.0,3.0,4.0,2025-09-13
JP_QUANT_011,Japan,40,Male,Senior Executive,9.4,Master,Financial Services,Medium (100-500),260,3.75,4.125,3.625,3.5,5.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,6.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,5.75,5.0,6.25,5.67,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,5.33,5.67,6.0,5.67,5.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,2025-09-08
JP_QUANT_012,Japan,40,Male,Department Head,2.0,PhD,Other,Large (> 500),1512,5.375,4.75,5.125,5.25,6.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.67,5.67,5.67,7.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,6.0,4.0,7.0,7.0,7.0,2025-09-18
JP_QUANT_013,Japan,46,Female,Team Leader,11.8,Bachelor,Manufacturing,Small (< 100),45,4.5,3.375,4.125,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,3.0,5.75,5.75,5.75,5.75,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,5.0,6.33,6.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,5.0,6.0,2025-12-27
JP_QUANT_014,Japan,29,Male,Senior Executive,5.0,Master,Financial Services,Small (< 100),67,3.625,3.875,3.625,3.625,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.75,5.0,5.5,5.42,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,3.0,4.67,2.33,7.0,3.0,3.0,3.0,5.0,5.0,4.0,2.0,3.0,2.0,7.0,7.0,7.0,2025-10-05
JP_QUANT_015,Japan,30,Male,Senior Executive,2.0,PhD,Other,Medium (100-500),325,4.375,4.25,4.25,3.5,4.0,5.0,6.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,2.0,5.75,5.0,5.25,5.33,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.33,5.67,5.33,5.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,2025-11-26
JP_QUANT_016,Japan,40,Male,Senior Executive,6.5,Bachelor,Financial Services,Large (> 500),1008,5.375,4.5,5.125,4.875,6.0,6.0,7.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,6.0,5.0,5.0,7.0,6.25,7.0,6.75,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,2.33,6.33,5.0,4.0,3.0,2.0,2.0,7.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,2025-12-23
JP_QUANT_017,Japan,36,Male,Department Head,11.6,Bachelor,Technology,Small (< 100),43,3.875,3.5,3.5,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,5.75,5.0,5.75,5.5,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,3.33,6.33,4.33,6.0,4.0,2.0,4.0,6.0,7.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,2025-12-25
JP_QUANT_018,Japan,47,Male,Department Head,17.3,Master,Financial Services,Large (> 500),980,4.625,3.25,4.25,3.875,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,4.5,5.0,5.25,4.92,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,7.0,4.33,6.0,7.0,6.0,5.0,7.0,7.0,7.0,5.0,4.0,4.0,6.0,6.0,6.0,2025-09-26
JP_QUANT_019,Japan,37,Male,Department Head,13.0,Master,Financial Services,Large (> 500),613,4.625,4.125,4.375,3.25,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,6.0,5.5,6.0,5.83,6.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,3.33,6.33,4.67,6.0,3.0,3.0,4.0,7.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,2025-12-14
